RFI,cumulative_sla_violations
0.5707452165156093,224
0.5704215220831536,172
0.5674272486772487,285
0.5696878147029204,225
0.5714789238958423,171
0.5679828042328042,280
0.5675661375661376,280
0.5704215220831536,172
0.5696878147029204,225
0.5696878147029204,225
0.5707452165156093,224
0.5671626984126985,225
0.5694642857142858,280
0.5714789238958423,224
0.5666269841269842,281
0.5714789238958423,171
0.5696878147029204,225
0.5674272486772487,285
0.5707452165156093,224
0.5714789238958423,171
0.5714789238958423,224
0.5707452165156093,224
0.5707452165156093,224
0.5696878147029204,225
0.5704215220831536,172
0.5690542328042328,280
0.5697288359788361,280
0.5714789238958423,171
0.5710257516904043,224
0.5696878147029204,225
