RFI,drop
0.5707452165156093,2
0.5704215220831536,2
0.5674272486772487,1
0.5696878147029204,2
0.5714789238958423,2
0.5679828042328042,1
0.5675661375661376,1
0.5704215220831536,2
0.5696878147029204,2
0.5696878147029204,2
0.5707452165156093,2
0.5671626984126985,1
0.5694642857142858,1
0.5714789238958423,2
0.5666269841269842,1
0.5714789238958423,2
0.5696878147029204,2
0.5674272486772487,1
0.5707452165156093,2
0.5714789238958423,2
0.5714789238958423,2
0.5707452165156093,2
0.5707452165156093,2
0.5696878147029204,2
0.5704215220831536,2
0.5690542328042328,1
0.5697288359788361,1
0.5714789238958423,2
0.5710257516904043,2
0.5696878147029204,2
