RFI,Power Consumption
0.4960846560846561,173.85390904051445
0.5219047619047619,173.85390904051445
0.5005148005148005,172.9270873801666
0.5219047619047619,173.85390904051445
0.5219047619047619,173.85390904051445
0.5095238095238095,172.9270873801666
0.4078626799557032,180.0928103016016
0.31956709956709956,195.35300774077407
0.5219047619047619,173.85390904051445
0.5485714285714286,173.85390904051445
0.44250253292806485,185.70446287257298
0.4914021164021164,174.4884196975253
0.4960846560846561,173.85390904051445
0.5005148005148005,172.9270873801666
0.3518633540372671,181.38903676289706
0.5227513227513227,173.85390904051445
0.34485714285714286,195.2005281302416
0.544973544973545,174.4884196975253
0.34799783549783553,195.2544532624691
0.35762987012987013,195.2544532624691
0.5101673101673102,172.9270873801666
0.3490800865800866,195.2544532624691
0.5187675070028012,171.42671353960793
0.3835600907029479,181.84930915863015
0.4914021164021164,174.4884196975253
0.4960846560846561,173.85390904051445
0.39303350970017636,200.06925784407014
0.32051948051948054,195.35300774077407
0.5005148005148005,172.9270873801666
0.4101882613510521,180.0928103016016
