RFI,Delays
0.29659863945578235,32.758620689655174
0.2819241982507289,32.758620689655174
0.28459669582118563,29.310344827586206
0.27099125364431487,29.310344827586206
0.27764820213799807,32.758620689655174
0.28362487852283774,32.758620689655174
0.27954324586977647,32.758620689655174
0.2814382896015549,32.758620689655174
0.2779397473275025,32.758620689655174
0.28751214771622935,29.310344827586206
0.27546161321671525,29.310344827586206
0.27546161321671525,29.310344827586206
0.27473275024295435,29.310344827586206
0.2884839650145773,29.310344827586206
0.5345071133084451,23.235294117647058
0.5686413770053476,24.871794871794872
0.5480837789661319,24.651162790697676
0.41293856788835265,24.482758620689655
0.5345071133084451,23.235294117647058
0.613009692513369,28.91304347826087
0.5987633689839572,22.5
0.5987633689839572,22.5
0.5345071133084451,23.235294117647058
0.5702707219251337,24.871794871794872
0.5345071133084451,23.235294117647058
0.5345071133084451,23.235294117647058
0.5345071133084451,23.235294117647058
0.5501223601921509,25.952380952380953
0.5690202120909997,24.25
0.5918552036199095,23.6
0.5345071133084451,23.235294117647058
0.5835358936963215,24.0
0.5996824866310161,22.5
0.5345071133084451,23.235294117647058
0.5918552036199095,23.6
0.5634460255596846,24.047619047619047
0.5980255039078569,23.46938775510204
0.5695604946524064,25.135135135135137
0.4912683823529412,27.2972972972973
0.6134692513368984,28.91304347826087
0.5539354946524064,23.243243243243242
0.5345071133084451,23.235294117647058
0.5345071133084451,23.235294117647058
0.48143767996709175,27.56756756756757
