Object,Time Step,Instance ID,Coordinates,Base Station,Delays,Delay slas,Delay sla deadlines,Communication Paths,Making Requests,Access History
User_1,5,1,"[6, 0]","BaseStation_4 ([6, 0])",40.0,10.0,-30.0,"{'1': [[4, 3, 2, 1]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_2,5,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,13.0,-17.0,"{'2': [[6, 7, 12]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_3,5,3,"[2, 2]","BaseStation_10 ([2, 2])",,14.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_4,5,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,20.0,0.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_5,5,5,"[4, 2]","BaseStation_11 ([4, 2])",,24.0,,{},"{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_6,5,6,"[3, 3]","BaseStation_14 ([3, 3])",,17.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_1,6,1,"[6, 0]","BaseStation_4 ([6, 0])",240.0,10.0,-230.0,"{'1': [[4, 7, 11, 14, 17]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_2,6,2,"[3, 1]","BaseStation_6 ([3, 1])",230.0,13.0,-217.0,"{'2': [[6, 10, 14, 17]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_3,6,3,"[2, 2]","BaseStation_10 ([2, 2])",40.0,14.0,-26.0,"{'3': [[10, 6, 3, 4]]}","{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_4,6,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,20.0,0.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_5,6,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,24.0,-6.0,"{'5': [[11, 10, 13]]}","{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_6,6,6,"[3, 3]","BaseStation_14 ([3, 3])",30.0,17.0,-13.0,"{'6': [[14, 13, 9]]}","{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
