Object,Time Step,Instance ID,Coordinates,Base Station,Delays,Delay slas,Delay sla deadlines,Communication Paths,Making Requests,Access History
User_1,0,1,"[6, 0]","BaseStation_4 ([6, 0])",,7.0,,{},{'1': {'1': True}},"{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_2,0,2,"[3, 1]","BaseStation_6 ([3, 1])",,7.0,,{},{'2': {'1': True}},"{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_3,0,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},{'3': {'1': True}},"{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_4,0,4,"[6, 0]","BaseStation_4 ([6, 0])",,10.0,,{},{'4': {'1': True}},"{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_5,0,5,"[4, 2]","BaseStation_11 ([4, 2])",,17.0,,{},{'5': {'1': True}},"{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_6,0,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},{'6': {'1': True}},"{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_1,1,1,"[6, 0]","BaseStation_4 ([6, 0])",,7.0,,{},"{'1': {'1': True, '2': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_2,1,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,7.0,-23.0,"{'2': [[6, 7, 8]]}","{'2': {'1': True, '2': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_3,1,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_4,1,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_5,1,5,"[4, 2]","BaseStation_11 ([4, 2])",,17.0,,{},"{'5': {'1': True, '2': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_6,1,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_1,2,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,7.0,-3.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_2,2,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,7.0,-23.0,"{'2': [[6, 7, 8]]}","{'2': {'1': True, '2': True, '3': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_3,2,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True, '3': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_4,2,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_5,2,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,17.0,-13.0,"{'5': [[11, 7, 8]]}","{'5': {'1': True, '2': True, '3': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_6,2,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True, '3': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_1,3,1,"[6, 0]","BaseStation_4 ([6, 0])",240.0,7.0,-233.0,"{'1': [[4, 7, 11, 14, 17]]}","{'1': {'1': True, '2': True, '3': True, '4': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_2,3,2,"[3, 1]","BaseStation_6 ([3, 1])",230.0,7.0,-223.0,"{'2': [[6, 10, 14, 17]]}","{'2': {'1': True, '2': True, '3': True, '4': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_3,3,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_4,3,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_5,3,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,17.0,-13.0,"{'5': [[11, 7, 8]]}","{'5': {'1': True, '2': True, '3': True, '4': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_6,3,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_1,4,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,7.0,-13.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_2,4,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,7.0,-23.0,"{'2': [[6, 3, 4]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_3,4,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_4,4,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_5,4,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,17.0,-13.0,"{'5': [[11, 7, 8]]}","{'5': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_6,4,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_1,5,1,"[6, 0]","BaseStation_4 ([6, 0])",240.0,7.0,-233.0,"{'1': [[4, 7, 11, 14, 17]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_2,5,2,"[3, 1]","BaseStation_6 ([3, 1])",230.0,7.0,-223.0,"{'2': [[6, 10, 14, 17]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_3,5,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_4,5,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_5,5,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,17.0,-13.0,"{'5': [[11, 7, 8]]}","{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_6,5,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 5, 'interval': 0, 'next_access': inf}]}"
User_1,6,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,7.0,-13.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_2,6,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,7.0,-23.0,"{'2': [[6, 3, 4]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_3,6,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_4,6,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_5,6,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,17.0,-13.0,"{'5': [[11, 7, 8]]}","{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_6,6,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 6, 'interval': 0, 'next_access': inf}]}"
User_1,7,1,"[6, 0]","BaseStation_4 ([6, 0])",240.0,7.0,-233.0,"{'1': [[4, 7, 11, 14, 17]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_2,7,2,"[3, 1]","BaseStation_6 ([3, 1])",230.0,7.0,-223.0,"{'2': [[6, 10, 14, 17]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_3,7,3,"[2, 2]","BaseStation_10 ([2, 2])",,21.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_4,7,4,"[6, 0]","BaseStation_4 ([6, 0])",20.0,10.0,-10.0,"{'4': [[4, 8]]}","{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_5,7,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,17.0,-13.0,"{'5': [[11, 7, 8]]}","{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_6,7,6,"[3, 3]","BaseStation_14 ([3, 3])",,23.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_1,8,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,7.0,-13.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
