Object,Time Step,Instance ID,Coordinates,Available,CPU,RAM,Disk,CPU Demand,RAM Demand,Disk Demand,Ongoing Migrations,Services,Registries,Layers,Images,Download Queue,Waiting Queue,Max. Concurrent Layer Downloads,Power Consumption,rfc,rf_cpu,rf_memory
EdgeServer_2,6,2,"[0, 2]",True,8,16384,131072,8,8192,29,1,[2],[],['ADD file:5d673d25da3a14ce1f6cf'],['alpine'],['ADD file:b83df51ab7caf8a4dc35f'],[],3,265.0,0,0,0
EdgeServer_3,6,3,"[6, 0]",True,8,8192,131072,4,4096,55,1,[1],[],"['ADD file:5d673d25da3a14ce1f6cf', '/bin/sh -c set -x     && addgr']",['alpine'],['ADD file:966d3669b40f5fbaecee1'],[],3,142.4957,1,4,4096
EdgeServer_4,6,4,"[1, 3]",True,8,8192,131072,8,8192,53,1,[],[],['/bin/sh -c set -x     && addgr'],[],['ADD file:966d3669b40f5fbaecee1'],[],3,218.0,2,10,10240
EdgeServer_5,6,5,"[7, 1]",True,12,16384,131072,1,1024,1017,0,[],[1],"['ADD file:5d673d25da3a14ce1f6cf', '/bin/sh -c set -eux; \tversion=', 'ADD file:966d3669b40f5fbaecee1', '/bin/sh -c set -x     && addgr', 'ADD file:b83df51ab7caf8a4dc35f', 'ADD file:e8d512b08fe2ddc6f2c85', '/bin/sh -c set -eux; \tapt-get ', '/bin/sh -c set -ex; \tif ! comm', '/bin/sh -c apt-get update && a', '/bin/sh -c set -ex; \tapt-get u', '/bin/sh -c set -eux; \tapt-get ', '/bin/sh -c set -eux; \t\twget -O', '/bin/sh -c set -eux; \t\twget -O', '/bin/sh -c set -eux; \tsavedApt', '/bin/sh -c set -eux; \t\tsavedAp', '/bin/sh -c ARCH= && dpkgArch=""', '/bin/sh -c set -ex   && for ke', '/bin/sh -c set -eux; \tapt-get ', '/bin/sh -c set -ex; \t\tsavedApt', '/bin/sh -c set -x \t&& export D', 'ADD file:59187422476c57db46e60', '/bin/sh -c apt-get update && a', '/bin/sh -c set -eux; \tsavedApt', '/bin/sh -c set -eux; \tapt-get ', '/bin/sh -c { \t\techo mysql-comm', '|1 PGP_KEYSERVER=keyserver.ubu', '|1 PGP_KEYSERVER=keyserver.ubu', '/bin/sh -c set -eux; \tapt-get ', '/bin/sh -c set -eux; \t\tsavedAp', '/bin/sh -c set -eux; \t\tsavedAp']","['registry', 'alpine', 'nginx', 'ubuntu', 'python', 'redis', 'node', 'mongo', 'mysql', 'rabbitmq', 'debian', 'php']",[],[],3,74.50833333333334,0,0,0
EdgeServer_6,6,6,"[6, 2]",True,12,16384,131072,0,0,0,0,[],[],[],[],[],[],3,63.1,0,0,0
EdgeServer_7,6,7,"[4, 100]",True,9999,9999999,99999999,0,0,0,0,[],[],[],[],[],[],30,200.0,0,0,0
EdgeServer_1,7,1,"[0, 0]",True,8,16384,131072,8,8192,27,1,[],[],['ADD file:b83df51ab7caf8a4dc35f'],[],[],[],3,265.0,2,10,26624
EdgeServer_2,7,2,"[0, 2]",True,8,16384,131072,4,4096,29,1,[],[],"['ADD file:5d673d25da3a14ce1f6cf', 'ADD file:b83df51ab7caf8a4dc35f']",['alpine'],[],[],3,215.498,2,10,26624
EdgeServer_3,7,3,"[6, 0]",True,8,8192,131072,6,6144,55,1,[2],[],"['ADD file:5d673d25da3a14ce1f6cf', '/bin/sh -c set -x     && addgr', 'ADD file:966d3669b40f5fbaecee1']",['alpine'],[],[],3,180.24785,1,6,6144
EdgeServer_4,7,4,"[1, 3]",True,8,8192,131072,8,8192,53,1,[],[],"['/bin/sh -c set -x     && addgr', 'ADD file:966d3669b40f5fbaecee1']",[],[],[],3,218.0,2,10,10240
