Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_2,17,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,18,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,18,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,19,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,19,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,20,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,20,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,21,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,21,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,22,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,22,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,23,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,23,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,24,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,24,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,25,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,25,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,26,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,26,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,27,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,27,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,28,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,28,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,29,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,29,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,30,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,30,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,31,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,31,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,32,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,32,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,33,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,33,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,34,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,34,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,35,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,35,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,36,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,36,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,37,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,37,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,38,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,38,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,39,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,39,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,40,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,40,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,41,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,41,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,42,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,42,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,43,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,43,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,44,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,44,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,45,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,45,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,46,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,46,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,47,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,47,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,48,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,48,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,49,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,49,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,50,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,50,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,51,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,51,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,52,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,52,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,53,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,53,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,54,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,54,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,55,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,55,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,56,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,56,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,57,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,57,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,58,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,58,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,59,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,59,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,60,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,60,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
