scenario,algo,seed,step,elapsed_ms
2ec_high_off,thea,428956419,54,1.0453
2ec_high_off,thea,428956419,55,2.4041
2ec_high_off,thea,428956419,56,1.0127
2ec_high_off,thea,428956419,57,1.1113
2ec_high_off,thea,428956419,58,0.9831
2ec_high_off,thea,428956419,59,0.9781
2ec_high_off,thea,428956419,60,0.9901
sample,thea,1954324947,1,0.8882
sample,thea,1954324947,2,0.3013
sample,thea,1954324947,3,0.2606
sample,thea,1954324947,4,0.2605
sample,thea,1954324947,5,0.2641
sample,thea,1954324947,6,0.2639
sample,thea,1954324947,7,0.2629
sample,thea,1954324947,8,0.2819
sample,thea,1954324947,9,0.2625
sample,thea,1954324947,10,0.2538
sample,thea,1954324947,11,0.2638
sample,thea,1954324947,12,0.2492
sample,thea,1954324947,13,0.248
sample,thea,1954324947,14,0.2501
sample,thea,1954324947,15,0.2879
sample,thea,1954324947,16,0.2536
sample,thea,1954324947,17,0.2504
sample,thea,1954324947,18,0.2506
sample,thea,1954324947,19,0.2486
sample,thea,1954324947,20,0.2611
sample,thea,1954324947,21,0.2546
sample,thea,1954324947,22,0.3737
sample,thea,1954324947,23,0.3064
sample,thea,1954324947,24,0.2826
sample,thea,1954324947,25,0.259
sample,thea,1954324947,26,0.2703
sample,thea,1954324947,27,0.2589
sample,thea,1954324947,28,0.2559
sample,thea,1954324947,29,0.2982
sample,thea,1954324947,30,0.2554
sample,thea,1954324947,31,0.2596
sample,thea,1954324947,32,0.2526
sample,thea,1954324947,33,0.2532
sample,thea,1954324947,34,0.2556
sample,thea,1954324947,35,0.2509
sample,thea,1954324947,36,0.2528
sample,thea,1954324947,37,0.2502
sample,thea,1954324947,38,0.2518
sample,thea,1954324947,39,0.4066
sample,thea,1954324947,40,0.2843
sample,thea,1954324947,41,0.27
sample,thea,1954324947,42,0.2627
sample,thea,1954324947,43,0.2666
sample,thea,1954324947,44,0.2604
sample,thea,1954324947,45,0.2679
sample,thea,1954324947,46,0.2504
sample,thea,1954324947,47,0.2508
sample,thea,1954324947,48,0.2491
sample,thea,1954324947,49,0.2536
sample,thea,1954324947,50,0.2484
sample,thea,1954324947,51,0.2565
sample,thea,1954324947,52,0.2523
sample,thea,1954324947,53,0.251
sample,thea,1954324947,54,0.2486
sample,thea,1954324947,55,0.3459
sample,thea,1954324947,56,0.2795
sample,thea,1954324947,57,0.2595
sample,thea,1954324947,58,0.2659
sample,thea,1954324947,59,0.2517
sample,thea,1954324947,60,0.2489
2ec_low_on,thea,1954324947,1,3.1078
2ec_low_on,thea,1954324947,2,1.4054
2ec_low_on,thea,1954324947,3,1.3307
2ec_low_on,thea,1954324947,4,1.2295
2ec_low_on,thea,1954324947,5,1.22
2ec_low_on,thea,1954324947,6,2.5486
2ec_low_on,thea,1954324947,7,1.1221
2ec_low_on,thea,1954324947,8,1.1002
2ec_low_on,thea,1954324947,9,1.1036
2ec_low_on,thea,1954324947,10,1.0986
2ec_low_on,thea,1954324947,11,1.0726
2ec_low_on,thea,1954324947,12,1.0625
2ec_low_on,thea,1954324947,13,1.2618
2ec_low_on,thea,1954324947,14,1.0906
2ec_low_off,thea,1954324947,1,2.1954
2ec_low_off,thea,1954324947,2,1.0175
2ec_low_off,thea,1954324947,3,1.7529
2ec_low_off,thea,1954324947,4,1.0132
2ec_low_off,thea,1954324947,5,1.0021
2ec_low_off,thea,1954324947,6,0.9552
2ec_low_off,thea,1954324947,7,0.9459
2ec_low_off,thea,1954324947,8,0.9267
2ec_low_off,thea,1954324947,9,0.8129
2ec_high_on,thea,1954324947,1,3.1214
2ec_high_on,thea,1954324947,2,1.6347
2ec_high_on,thea,1954324947,3,1.3141
2ec_high_on,thea,1954324947,4,1.3341
2ec_high_on,thea,1954324947,5,1.6203
2ec_high_on,thea,1954324947,6,1.3483
2ec_high_on,thea,1954324947,7,1.2997
2ec_high_on,thea,1954324947,8,1.0744
2ec_high_on,thea,1954324947,9,1.0317
2ec_high_off,thea,1954324947,1,3.1375
2ec_high_off,thea,1954324947,2,1.8786
2ec_high_off,thea,1954324947,3,1.4293
2ec_high_off,thea,1954324947,4,2.7712
2ec_high_off,thea,1954324947,5,1.716
2ec_high_off,thea,1954324947,6,1.3668
2ec_high_off,thea,1954324947,7,1.9391
2ec_high_off,thea,1954324947,8,1.383
2ec_high_off,thea,1954324947,9,1.9684
2ec_high_off,thea,1954324947,10,2.2277
2ec_high_off,thea,1954324947,11,1.5321
2ec_high_off,thea,1954324947,12,2.9251
2ec_high_off,thea,1954324947,13,1.2013
2ec_high_off,thea,1954324947,14,1.1925
2ec_high_off,thea,1954324947,15,1.1012
2ec_high_off,thea,1954324947,16,1.1666
2ec_high_off,thea,1954324947,17,1.1052
2ec_high_off,thea,1954324947,18,1.5128
2ec_high_off,thea,1954324947,19,1.1344
2ec_high_off,thea,1954324947,20,1.0629
2ec_high_off,thea,1954324947,21,1.1302
2ec_high_off,thea,1954324947,22,1.1579
2ec_high_off,thea,1954324947,23,1.07
2ec_high_off,thea,1954324947,24,1.0625
2ec_high_off,thea,1954324947,25,1.0763
2ec_high_off,thea,1954324947,26,1.9823
2ec_high_off,thea,1954324947,27,3.1487
2ec_high_off,thea,1954324947,28,1.1881
2ec_high_off,thea,1954324947,29,1.0845
2ec_high_off,thea,1954324947,30,1.069
2ec_high_off,thea,1954324947,31,1.0816
2ec_high_off,thea,1954324947,32,1.3823
2ec_high_off,thea,1954324947,33,1.1235
2ec_high_off,thea,1954324947,34,1.0588
2ec_high_off,thea,1954324947,35,1.0705
2ec_high_off,thea,1954324947,36,1.0669
2ec_high_off,thea,1954324947,37,1.071
2ec_high_off,thea,1954324947,38,1.0493
2ec_high_off,thea,1954324947,39,1.0775
2ec_high_off,thea,1954324947,40,1.0968
2ec_high_off,thea,1954324947,41,1.0638
2ec_high_off,thea,1954324947,42,1.0445
2ec_high_off,thea,1954324947,43,1.1061
2ec_high_off,thea,1954324947,44,1.046
2ec_high_off,thea,1954324947,45,1.0713
2ec_high_off,thea,1954324947,46,1.0624
2ec_high_off,thea,1954324947,47,1.081
2ec_high_off,thea,1954324947,48,1.6126
2ec_high_off,thea,1954324947,49,1.1517
2ec_high_off,thea,1954324947,50,1.0874
2ec_high_off,thea,1954324947,51,1.0648
2ec_high_off,thea,1954324947,52,1.1438
2ec_high_off,thea,1954324947,53,1.1144
2ec_high_off,thea,1954324947,54,1.0331
2ec_high_off,thea,1954324947,55,1.0472
2ec_high_off,thea,1954324947,56,2.0544
2ec_high_off,thea,1954324947,57,1.0878
2ec_high_off,thea,1954324947,58,1.0385
2ec_high_off,thea,1954324947,59,1.1094
2ec_high_off,thea,1954324947,60,1.0223
sample,thea,1145661099,1,0.8219
sample,thea,1145661099,2,0.2753
sample,thea,1145661099,3,0.2341
sample,thea,1145661099,4,0.2294
sample,thea,1145661099,5,0.2224
sample,thea,1145661099,6,0.2456
sample,thea,1145661099,7,0.284
sample,thea,1145661099,8,0.2275
sample,thea,1145661099,9,0.4934
sample,thea,1145661099,10,0.3175
sample,thea,1145661099,11,0.265
sample,thea,1145661099,12,0.2426
sample,thea,1145661099,13,0.2934
sample,thea,1145661099,14,0.256
sample,thea,1145661099,15,0.2758
sample,thea,1145661099,16,0.2469
sample,thea,1145661099,17,0.3197
sample,thea,1145661099,18,0.3404
sample,thea,1145661099,19,0.2679
sample,thea,1145661099,20,0.2607
sample,thea,1145661099,21,0.3659
sample,thea,1145661099,22,0.3042
sample,thea,1145661099,23,0.3084
sample,thea,1145661099,24,0.2584
sample,thea,1145661099,25,0.3395
sample,thea,1145661099,26,0.3434
sample,thea,1145661099,27,0.3262
sample,thea,1145661099,28,0.3501
sample,thea,1145661099,29,0.3148
sample,thea,1145661099,30,0.2763
sample,thea,1145661099,31,0.3444
sample,thea,1145661099,32,0.2754
sample,thea,1145661099,33,0.2688
sample,thea,1145661099,34,0.2541
sample,thea,1145661099,35,0.2631
sample,thea,1145661099,36,0.6552
sample,thea,1145661099,37,0.3002
sample,thea,1145661099,38,0.2838
