Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_3,39,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,39,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,39,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,39,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,40,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,40,2,True,,False,
Service_3,40,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,40,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,40,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,40,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,41,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,41,2,True,,False,
Service_3,41,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,41,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,41,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,41,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,42,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,42,2,True,,False,
Service_3,42,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,42,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,42,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,42,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,43,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,43,2,True,,False,
Service_3,43,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,43,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,43,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,43,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,44,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,44,2,True,,False,
Service_3,44,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,44,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,44,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,44,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,45,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,45,2,True,,False,
Service_3,45,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,45,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,45,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
