scenario,algo,seed,step,elapsed_ms
sample,tetris,1954324947,52,1.0725
sample,tetris,1954324947,53,1.2697
sample,tetris,1954324947,54,1.2645
sample,tetris,1954324947,55,1.3641
sample,tetris,1954324947,56,1.3316
sample,tetris,1954324947,57,1.2584
sample,tetris,1954324947,58,1.0674
sample,tetris,1954324947,59,1.1872
sample,tetris,1954324947,60,1.0271
2ec_low_on,tetris,1954324947,1,2.2837
2ec_low_on,tetris,1954324947,2,1.5981
2ec_low_on,tetris,1954324947,3,2.5467
2ec_low_on,tetris,1954324947,4,3.049
2ec_low_on,tetris,1954324947,5,3.1538
2ec_low_on,tetris,1954324947,6,2.2641
2ec_low_on,tetris,1954324947,7,1.7774
2ec_low_on,tetris,1954324947,8,1.5809
2ec_low_on,tetris,1954324947,9,1.851
2ec_low_on,tetris,1954324947,10,1.781
2ec_low_on,tetris,1954324947,11,1.8858
2ec_low_on,tetris,1954324947,12,2.4952
2ec_low_off,tetris,1954324947,1,2.1475
2ec_low_off,tetris,1954324947,2,1.8316
2ec_low_off,tetris,1954324947,3,2.678
2ec_low_off,tetris,1954324947,4,2.5094
2ec_low_off,tetris,1954324947,5,1.8465
2ec_low_off,tetris,1954324947,6,1.9741
2ec_low_off,tetris,1954324947,7,4.8637
2ec_low_off,tetris,1954324947,8,2.4162
2ec_high_on,tetris,1954324947,1,5.3521
2ec_high_on,tetris,1954324947,2,2.0037
2ec_high_on,tetris,1954324947,3,1.766
2ec_high_on,tetris,1954324947,4,2.9933
2ec_high_on,tetris,1954324947,5,4.1999
2ec_high_on,tetris,1954324947,6,1.9985
2ec_high_on,tetris,1954324947,7,1.9598
2ec_high_on,tetris,1954324947,8,2.9385
2ec_high_off,tetris,1954324947,1,2.2745
2ec_high_off,tetris,1954324947,2,1.6037
2ec_high_off,tetris,1954324947,3,1.6917
2ec_high_off,tetris,1954324947,4,1.4786
2ec_high_off,tetris,1954324947,5,1.4278
2ec_high_off,tetris,1954324947,6,1.4158
sample,tetris,1145661099,1,1.5326
sample,tetris,1145661099,2,1.0977
sample,tetris,1145661099,3,1.4601
sample,tetris,1145661099,4,2.5283
sample,tetris,1145661099,5,1.6117
sample,tetris,1145661099,6,1.2604
sample,tetris,1145661099,7,1.235
sample,tetris,1145661099,8,1.0418
sample,tetris,1145661099,9,1.3875
sample,tetris,1145661099,10,1.1492
sample,tetris,1145661099,11,2.3866
sample,tetris,1145661099,12,2.1798
sample,tetris,1145661099,13,1.457
sample,tetris,1145661099,14,1.0646
sample,tetris,1145661099,15,1.3089
sample,tetris,1145661099,16,1.0097
sample,tetris,1145661099,17,1.2795
sample,tetris,1145661099,18,3.7485
sample,tetris,1145661099,19,1.8461
sample,tetris,1145661099,20,1.2513
sample,tetris,1145661099,21,1.2825
sample,tetris,1145661099,22,1.0211
sample,tetris,1145661099,23,1.1479
sample,tetris,1145661099,24,4.3023
sample,tetris,1145661099,25,2.0178
sample,tetris,1145661099,26,1.0956
sample,tetris,1145661099,27,1.1495
sample,tetris,1145661099,28,1.0766
sample,tetris,1145661099,29,1.1121
sample,tetris,1145661099,30,1.3887
sample,tetris,1145661099,31,1.6201
sample,tetris,1145661099,32,1.3426
sample,tetris,1145661099,33,1.4152
sample,tetris,1145661099,34,1.0592
sample,tetris,1145661099,35,1.2529
sample,tetris,1145661099,36,1.0262
sample,tetris,1145661099,37,1.1888
sample,tetris,1145661099,38,1.5823
sample,tetris,1145661099,39,2.5819
sample,tetris,1145661099,40,1.3097
sample,tetris,1145661099,41,1.4283
sample,tetris,1145661099,42,1.2409
sample,tetris,1145661099,43,1.1251
sample,tetris,1145661099,44,0.983
sample,tetris,1145661099,45,1.124
sample,tetris,1145661099,46,1.2837
sample,tetris,1145661099,47,1.4323
sample,tetris,1145661099,48,1.3564
sample,tetris,1145661099,49,1.3079
sample,tetris,1145661099,50,0.9961
sample,tetris,1145661099,51,1.0977
sample,tetris,1145661099,52,1.0058
sample,tetris,1145661099,53,1.1928
sample,tetris,1145661099,54,1.1583
sample,tetris,1145661099,55,1.324
sample,tetris,1145661099,56,1.1635
sample,tetris,1145661099,57,1.2716
sample,tetris,1145661099,58,0.9634
sample,tetris,1145661099,59,1.0802
sample,tetris,1145661099,60,0.9161
2ec_low_on,tetris,1145661099,1,1.7312
2ec_low_on,tetris,1145661099,2,1.194
2ec_low_on,tetris,1145661099,3,3.2222
2ec_low_on,tetris,1145661099,4,2.5587
2ec_low_on,tetris,1145661099,5,2.9197
2ec_low_on,tetris,1145661099,6,2.1548
2ec_low_on,tetris,1145661099,7,2.1533
2ec_low_on,tetris,1145661099,8,3.0533
2ec_low_on,tetris,1145661099,9,3.6818
2ec_low_on,tetris,1145661099,10,2.0593
2ec_low_off,tetris,1145661099,1,2.0492
2ec_low_off,tetris,1145661099,2,1.6419
2ec_low_off,tetris,1145661099,3,1.7879
2ec_low_off,tetris,1145661099,4,1.3418
2ec_low_off,tetris,1145661099,5,1.3199
2ec_low_off,tetris,1145661099,6,1.3197
2ec_low_off,tetris,1145661099,7,1.4504
2ec_low_off,tetris,1145661099,8,4.0535
2ec_high_on,tetris,1145661099,1,3.7279
2ec_high_on,tetris,1145661099,2,1.6771
2ec_high_on,tetris,1145661099,3,1.6799
2ec_high_on,tetris,1145661099,4,1.1653
2ec_high_on,tetris,1145661099,5,2.3985
2ec_high_on,tetris,1145661099,6,3.7654
2ec_high_on,tetris,1145661099,7,3.2149
2ec_high_on,tetris,1145661099,8,4.3011
2ec_high_off,tetris,1145661099,1,2.3397
2ec_high_off,tetris,1145661099,2,1.5484
2ec_high_off,tetris,1145661099,3,2.2278
2ec_high_off,tetris,1145661099,4,2.0888
2ec_high_off,tetris,1145661099,5,2.0491
2ec_high_off,tetris,1145661099,6,1.954
sample,tetris,1835732737,1,2.8471
sample,tetris,1835732737,2,1.6485
sample,tetris,1835732737,3,2.1257
sample,tetris,1835732737,4,3.7486
sample,tetris,1835732737,5,1.3492
sample,tetris,1835732737,6,1.2507
sample,tetris,1835732737,7,1.0405
sample,tetris,1835732737,8,1.0168
sample,tetris,1835732737,9,1.0634
sample,tetris,1835732737,10,0.9359
sample,tetris,1835732737,11,1.1124
sample,tetris,1835732737,12,1.3566
sample,tetris,1835732737,13,1.2605
sample,tetris,1835732737,14,0.9929
sample,tetris,1835732737,15,1.0785
sample,tetris,1835732737,16,0.9649
sample,tetris,1835732737,17,1.0847
sample,tetris,1835732737,18,0.9339
sample,tetris,1835732737,19,1.0648
sample,tetris,1835732737,20,0.9663
sample,tetris,1835732737,21,1.5045
sample,tetris,1835732737,22,1.409
sample,tetris,1835732737,23,1.1923
sample,tetris,1835732737,24,0.9464
sample,tetris,1835732737,25,1.0731
sample,tetris,1835732737,26,0.9285
sample,tetris,1835732737,27,1.1781
sample,tetris,1835732737,28,1.0334
sample,tetris,1835732737,29,2.4765
sample,tetris,1835732737,30,1.3157
sample,tetris,1835732737,31,1.1196
sample,tetris,1835732737,32,0.9291
sample,tetris,1835732737,33,1.0603
sample,tetris,1835732737,34,0.9061
sample,tetris,1835732737,35,1.0899
sample,tetris,1835732737,36,0.9177
sample,tetris,1835732737,37,1.7604
sample,tetris,1835732737,38,1.5344
sample,tetris,1835732737,39,1.4655
sample,tetris,1835732737,40,1.0696
sample,tetris,1835732737,41,1.0938
sample,tetris,1835732737,42,0.9635
sample,tetris,1835732737,43,1.0501
sample,tetris,1835732737,44,0.9001
sample,tetris,1835732737,45,1.0802
sample,tetris,1835732737,46,0.9131
sample,tetris,1835732737,47,1.75
sample,tetris,1835732737,48,1.1989
sample,tetris,1835732737,49,1.1223
sample,tetris,1835732737,50,0.9065
sample,tetris,1835732737,51,1.0633
sample,tetris,1835732737,52,0.878
sample,tetris,1835732737,53,1.0201
sample,tetris,1835732737,54,0.9041
sample,tetris,1835732737,55,1.2093
sample,tetris,1835732737,56,2.3634
sample,tetris,1835732737,57,1.1868
sample,tetris,1835732737,58,0.9092
sample,tetris,1835732737,59,1.0068
sample,tetris,1835732737,60,0.9077
2ec_low_on,tetris,1835732737,1,1.7468
2ec_low_on,tetris,1835732737,2,1.0942
2ec_low_on,tetris,1835732737,3,1.2871
2ec_low_on,tetris,1835732737,4,1.1356
2ec_low_on,tetris,1835732737,5,1.1517
2ec_low_on,tetris,1835732737,6,1.1541
2ec_low_on,tetris,1835732737,7,1.9362
