Object,Time Step,Instance ID,Coordinates,Base Station,Delays,Delay slas,Delay sla deadlines,Communication Paths,Making Requests,Access History
User_1,45,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,39.0,19.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 45, 'interval': 0, 'next_access': inf}]}"
User_2,45,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 1]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 45, 'interval': 0, 'next_access': inf}]}"
User_1,46,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,39.0,29.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 46, 'interval': 0, 'next_access': inf}]}"
User_2,46,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 9]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 46, 'interval': 0, 'next_access': inf}]}"
User_1,47,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,39.0,19.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True, '48': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 47, 'interval': 0, 'next_access': inf}]}"
User_2,47,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 1]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True, '48': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 47, 'interval': 0, 'next_access': inf}]}"
User_1,48,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,39.0,29.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True, '48': True, '49': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 48, 'interval': 0, 'next_access': inf}]}"
User_2,48,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 9]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True, '48': True, '49': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 48, 'interval': 0, 'next_access': inf}]}"
User_1,49,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,39.0,19.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True, '48': True, '49': True, '50': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 49, 'interval': 0, 'next_access': inf}]}"
User_2,49,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 1]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': True, '13': True, '14': True, '15': True, '16': True, '17': True, '18': True, '19': True, '20': True, '21': True, '22': True, '23': True, '24': True, '25': True, '26': True, '27': True, '28': True, '29': True, '30': True, '31': True, '32': True, '33': True, '34': True, '35': True, '36': True, '37': True, '38': True, '39': True, '40': True, '41': True, '42': True, '43': True, '44': True, '45': True, '46': True, '47': True, '48': True, '49': True, '50': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 49, 'interval': 0, 'next_access': inf}]}"
