Object,Time Step,Instance ID,Coordinates,Base Station,Delays,Delay slas,Delay sla deadlines,Communication Paths,Making Requests,Access History
User_1,7,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,22.0,2.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_2,7,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,11.0,-19.0,"{'2': [[6, 3, 4]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_3,7,3,"[2, 2]","BaseStation_10 ([2, 2])",,15.0,,{},"{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_4,7,4,"[6, 0]","BaseStation_4 ([6, 0])",,8.0,,{},"{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_5,7,5,"[4, 2]","BaseStation_11 ([4, 2])",,22.0,,{},"{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_6,7,6,"[3, 3]","BaseStation_14 ([3, 3])",,16.0,,{},"{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 7, 'interval': 0, 'next_access': inf}]}"
User_1,8,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,22.0,12.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
User_2,8,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,11.0,-19.0,"{'2': [[6, 5, 9]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
User_3,8,3,"[2, 2]","BaseStation_10 ([2, 2])",20.0,15.0,-5.0,"{'3': [[10, 13]]}","{'3': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'3': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
User_4,8,4,"[6, 0]","BaseStation_4 ([6, 0])",10.0,8.0,-2.0,{'4': [[]]},"{'4': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'4': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
User_5,8,5,"[4, 2]","BaseStation_11 ([4, 2])",30.0,22.0,-8.0,"{'5': [[11, 10, 9]]}","{'5': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'5': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
User_6,8,6,"[3, 3]","BaseStation_14 ([3, 3])",40.0,16.0,-24.0,"{'6': [[14, 10, 5, 1]]}","{'6': {'1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True}}","{'6': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 8, 'interval': 0, 'next_access': inf}]}"
